ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_1216	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified
Seq_1218	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingoaurantiacus
Seq_1219	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Unclassified
Seq_1220	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter
Seq_1221	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	Unclassified
Seq_1226	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Unclassified
Seq_1227	Bacteria	Cyanobacteria	Sericytochromatia	Unclassified	Unclassified	Unclassified
Seq_1230	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unclassified
Seq_1231	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
Seq_1233	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
Seq_1235	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter
Seq_1236	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas
Seq_1237	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lechevalieria
Seq_1238	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
Seq_1240	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter
Seq_1242	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae1	Alcanivorax
Seq_1243	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
Seq_1245	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Unclassified	Unclassified
Seq_1246	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
Seq_1249	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	Unclassified
Seq_1252	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Unclassified	Unclassified
Seq_1254	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter
Seq_1260	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
Seq_1261	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter
Seq_1265	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
Seq_1267	Bacteria	Myxococcota	Polyangia	mle1-27	Unclassified	Unclassified
Seq_1268	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
Seq_1269	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Unclassified	Unclassified
Seq_1271	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
Seq_1273	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola
Seq_1281	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas
Seq_1282	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Seq_1283	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga
Seq_1285	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	Unclassified
Seq_1287	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	Unclassified
Seq_1288	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Unclassified
Seq_1289	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
Seq_1291	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Klenkia
Seq_1292	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
Seq_1294	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Tychonema CCAP 1459-11B
Seq_1300	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	Unclassified
Seq_1302	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Seq_1305	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter
Seq_1306	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Seq_1310	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Unclassified	Unclassified
Seq_1311	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Unclassified	Unclassified
Seq_1313	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41
Seq_1318	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
Seq_1319	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Rhodocytophaga
Seq_1324	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	Unclassified
Seq_1325	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	Leptolyngbya EcFYyyy-00
Seq_1329	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella
Seq_1335	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Unclassified
Seq_1337	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	Unclassified
Seq_1338	Bacteria	Cyanobacteria	Sericytochromatia	Unclassified	Unclassified	Unclassified
Seq_1340	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseococcus
Seq_1342	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Unclassified
Seq_1343	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga
Seq_1344	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola
Seq_1352	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	GTL1
Seq_1353	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Unclassified	Unclassified
Seq_1354	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Unclassified
Seq_1356	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Geminicoccus
Seq_1362	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Unclassified	Unclassified
Seq_1363	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	Unclassified
Seq_1364	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
Seq_1365	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus
Seq_1366	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga
Seq_1369	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Seq_1375	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
Seq_1376	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	Unclassified
Seq_1377	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Unclassified	Unclassified
Seq_1380	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter
Seq_1386	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Seq_1388	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia
Seq_1391	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Seq_1402	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	Unclassified
Seq_1403	Bacteria	Armatimonadota	Unclassified	Unclassified	Unclassified	Unclassified
Seq_1405	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas
Seq_1407	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	Unclassified	Unclassified
Seq_1413	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	Unclassified	Unclassified
Seq_1417	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	Unclassified
Seq_1418	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Seq_1419	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Unclassified
Seq_1420	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Seq_1421	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Unclassified
Seq_1422	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium
Seq_1424	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter
Seq_1425	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Seq_1430	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Rhodocytophaga
Seq_1431	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium
Seq_1436	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	Unclassified
Seq_1440	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Unclassified	Unclassified
Seq_1442	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium
Seq_1444	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus
Seq_1445	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Unclassified
Seq_1447	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
Seq_1449	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Unclassified
Seq_1456	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter
Seq_1458	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Seq_1462	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	possible genus 04
Seq_1470	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter
Seq_1473	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Unclassified
Seq_1480	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola
Seq_1483	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1
Seq_1485	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus
Seq_1489	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_1490	Bacteria	Chloroflexi	Unclassified	Unclassified	Unclassified	Unclassified
Seq_1491	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Unclassified
Seq_1497	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	Unclassified
Seq_1498	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Actinotalea
Seq_1500	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Unclassified
Seq_1503	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus
Seq_1504	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter
Seq_1505	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
Seq_1506	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Rhodocytophaga
Seq_1509	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter
Seq_1517	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	Unclassified
Seq_1519	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
Seq_1520	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
Seq_1523	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola
Seq_1524	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus
Seq_1525	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Seq_1527	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Seq_1529	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexus	Unclassified
Seq_1532	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Unclassified	Unclassified
Seq_1535	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Unclassified
Seq_1537	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Unclassified	Unclassified
Seq_1538	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Seq_1544	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter
Seq_1545	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalicibacterium
Seq_1547	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Belnapia
Seq_1548	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	Unclassified
Seq_1554	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Unclassified
Seq_1559	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Unclassified
Seq_1563	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Unclassified
Seq_1567	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1
Seq_1575	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
Seq_1579	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter
Seq_1588	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1
Seq_1592	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	Unclassified
Seq_1595	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter
Seq_1604	Bacteria	Gemmatimonadota	Unclassified	Unclassified	Unclassified	Unclassified
Seq_1606	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
Seq_1608	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter
Seq_1613	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Seq_1616	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	TM7a
Seq_1619	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
